kind,league,slot,league_rank,name,url
team,Premier League,1,1,"Arsenal",https://4590football.com/livescore/football/team/42/arsenal
team,La Liga,1,1,"Real Madrid",https://4590football.com/livescore/football/team/541/real-madrid
team,Bundesliga,1,1,"Bayern München",https://4590football.com/livescore/football/team/157/bayern-munchen
team,Serie A,1,1,"Napoli",https://4590football.com/livescore/football/team/492/napoli
team,Ligue 1,1,1,"Paris Saint Germain",https://4590football.com/livescore/football/team/85/paris-saint-germain
player,Premier League,2,1,"T. Mulley",https://4590football.com/livescore/football/player/553848/t-mulley
player,La Liga,2,1,"Juanmi Latasa",https://4590football.com/livescore/football/player/162028/juanmi-latasa
player,Bundesliga,2,1,"S. Ali",https://4590football.com/livescore/football/player/584336/s-ali
player,Serie A,2,1,"G. Caprari",https://4590football.com/livescore/football/player/30460/g-caprari
player,Ligue 1,2,1,"D. Durand",https://4590football.com/livescore/football/player/86549/d-durand
team,Premier League,3,2,"Liverpool",https://4590football.com/livescore/football/team/40/liverpool
team,La Liga,3,2,"Barcelona",https://4590football.com/livescore/football/team/529/barcelona
team,Bundesliga,3,2,"Borussia Dortmund",https://4590football.com/livescore/football/team/165/borussia-dortmund
team,Serie A,3,2,"AS Roma",https://4590football.com/livescore/football/team/497/as-roma
team,Ligue 1,3,2,"Marseille",https://4590football.com/livescore/football/team/81/marseille
player,Premier League,4,2,"Z. Marsh",https://4590football.com/livescore/football/player/557416/z-marsh
player,La Liga,4,2,"Alex Sancris",https://4590football.com/livescore/football/player/546852/alex-sancris
player,Bundesliga,4,2,"J. Lang",https://4590football.com/livescore/football/player/585755/j-lang
player,Serie A,4,2,"Dany Mota",https://4590football.com/livescore/football/player/30603/dany-mota
player,Ligue 1,4,2,"H. Ibrahim",https://4590football.com/livescore/football/player/494535/h-ibrahim
team,Premier League,5,3,"Tottenham",https://4590football.com/livescore/football/team/47/tottenham
team,La Liga,5,3,"Villarreal",https://4590football.com/livescore/football/team/533/villarreal
team,Bundesliga,5,3,"RB Leipzig",https://4590football.com/livescore/football/team/173/rb-leipzig
team,Serie A,5,3,"AC Milan",https://4590football.com/livescore/football/team/489/ac-milan
team,Ligue 1,5,3,"Strasbourg",https://4590football.com/livescore/football/team/95/strasbourg
